table,attribute,ID,subClassOf
accomplishments,id,sapos:AccomplishmentId,tcu:PersonallyIdentifiableInformation
accomplishments,enrollment_id,sapos:AccomplishmentEnrollmentId,tcu:PersonallyIdentifiableInformation
accomplishments,phase_id,sapos:AccomplishmentPhaseId,tcu:PersonallyIdentifiableInformation
accomplishments,conclusion_date,sapos:AccomplishmentConclusionDate,tcu:PersonallyIdentifiableInformation
accomplishments,obs,sapos:AccomplishmentObs,tcu:PersonallyIdentifiableInformation
accomplishments,created_at,sapos:AccomplishmentCreatedAt,tcu:PersonallyIdentifiableInformation
accomplishments,updated_at,sapos:AccomplishmentUpdatedAt,tcu:PersonallyIdentifiableInformation
advisement_authorizations,id,sapos:AdvisementAuthorizationId,tcu:Record
advisement_authorizations,professor_id,sapos:AdvisementAuthorizationProfessorId,tcu:PersonallyIdentifiableInformation
advisement_authorizations,level_id,sapos:AdvisementAuthorizationLevelId,tcu:Record
advisement_authorizations,created_at,sapos:AdvisementAuthorizationCreatedAt,tcu:Record
advisement_authorizations,updated_at,sapos:AdvisementAuthorizationUpdatedAt,tcu:Record
advisements,id,sapos:AdvisementId,tcu:PersonallyIdentifiableInformation
advisements,professor_id,sapos:AdvisementProfessorId,tcu:PersonallyIdentifiableInformation
advisements,enrollment_id,sapos:AdvisementEnrollmentId,tcu:PersonallyIdentifiableInformation
advisements,main_advisor,sapos:AdvisementMainAdvisor,tcu:PersonallyIdentifiableInformation
advisements,created_at,sapos:AdvisementCreatedAt,tcu:Record
advisements,updated_at,sapos:AdvisementUpdatedAt,tcu:Record
allocations,id,sapos:AllocationId,tcu:Record
allocations,day,sapos:AllocationDay,tcu:Record
allocations,room,sapos:AllocationRoom,tcu:Record
allocations,start_time,sapos:AllocationStartTime,tcu:Record
allocations,end_time,sapos:AllocationEndTime,tcu:Record
allocations,course_class_id,sapos:AllocationCourseClassId,tcu:Record
allocations,created_at,sapos:AllocationCreatedAt,tcu:Record
allocations,updated_at,sapos:AllocationUpdatedAt,tcu:Record
carrier_wave_files,id,sapos:CarrierWaveFileId,tcu:Record
carrier_wave_files,medium_hash,sapos:CarrierWaveFileMediumHash,tcu:Record
carrier_wave_files,binary,sapos:CarrierWaveFileBinary,tcu:Record
carrier_wave_files,created_at,sapos:CarrierWaveFileCreatedAt,tcu:Record
carrier_wave_files,updated_at,sapos:CarrierWaveFileUpdatedAt,tcu:Record
carrier_wave_files,reference_counter,sapos:CarrierWaveFileReferenceCounter,tcu:Record
carrier_wave_files,original_filename,sapos:CarrierWaveFileOriginalFilename,tcu:Record
carrier_wave_files,content_type,sapos:CarrierWaveFileContentType,tcu:Record
