'nodes_ids'; 0.0134s
'prefixes_nodes'; 0.0473s
'prefixes'; 0.0478s
'nodes_ids'; 0.0117s
'_is_ontology'; 0.0011s
'ontology_nodes'; 0.0453s
'nodes_ids'; 0.0117s
'prefixes_nodes'; 0.0454s
'prefixes'; 0.0456s
'_get_children_by_filter'; 0.0093s
'get_class_elements_children_of'; 0.0093s
'get_classes_children_of'; 0.0093s
'_get_children_by_filter'; 0.0111s
'get_named_instance_elements_children_of'; 0.0111s
'get_named_instances_children_of'; 0.0114s
'_get_children_by_filter'; 0.0097s
'get_datatype_elements_children_of'; 0.0097s
'get_datatypes_children_of'; 0.0098s
'__post_init__'; 0.0761s
'from_element'; 0.0761s
'nodes_ids'; 0.0132s
'prefixes_nodes'; 0.0434s
'prefixes'; 0.0436s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0017s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0018s
'get_named_instances_children_of'; 0.0018s
'_get_children_by_filter'; 0.0017s
'get_datatype_elements_children_of'; 0.0017s
'get_datatypes_children_of'; 0.0017s
'__post_init__'; 0.0489s
'from_element'; 0.0489s
'nodes_ids'; 0.0117s
'prefixes_nodes'; 0.0419s
'prefixes'; 0.0421s
'__post_init__'; 0.0426s
'from_element'; 0.0426s
'nodes_ids'; 0.0115s
'prefixes_nodes'; 0.0423s
'prefixes'; 0.0426s
'__post_init__'; 0.0434s
'from_element'; 0.0434s
'ontologies'; 0.2563s
'classes'; 0.2563s
'nodes_ids'; 0.0134s
'ontology_nodes'; 0.0504s
'nodes_ids'; 0.0125s
'prefixes_nodes'; 0.0448s
'prefixes'; 0.0452s
'_get_children_by_filter'; 0.0096s
'get_class_elements_children_of'; 0.0096s
'get_classes_children_of'; 0.0096s
'_get_children_by_filter'; 0.0108s
'get_named_instance_elements_children_of'; 0.0108s
'get_named_instances_children_of'; 0.0110s
'_get_children_by_filter'; 0.0099s
'get_datatype_elements_children_of'; 0.0099s
'get_datatypes_children_of'; 0.0100s
'__post_init__'; 0.0758s
'from_element'; 0.0758s
'nodes_ids'; 0.0131s
'prefixes_nodes'; 0.0453s
'prefixes'; 0.0456s
'_get_children_by_filter'; 0.0016s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0018s
'_get_children_by_filter'; 0.0020s
'get_named_instance_elements_children_of'; 0.0021s
'get_named_instances_children_of'; 0.0021s
'_get_children_by_filter'; 0.0018s
'get_datatype_elements_children_of'; 0.0018s
'get_datatypes_children_of'; 0.0018s
'__post_init__'; 0.0513s
'from_element'; 0.0513s
'nodes_ids'; 0.0123s
'prefixes_nodes'; 0.0474s
'prefixes'; 0.0478s
'__post_init__'; 0.0484s
'from_element'; 0.0484s
'nodes_ids'; 0.0136s
'prefixes_nodes'; 0.0480s
'prefixes'; 0.0482s
'__post_init__'; 0.0488s
'from_element'; 0.0488s
'ontologies'; 0.2747s
'nodes_ids'; 0.0099s
'nodes_ids'; 0.0016s
'get_ontology_contains_element_id'; 0.2863s
'get_relations'; 0.2864s
'relations_from_node'; 0.2864s
'relations_from'; 0.2864s
'to_turtle'; 0.2865s
'nodes_ids'; 0.0122s
'ontology_nodes'; 0.0445s
'nodes_ids'; 0.0130s
'prefixes_nodes'; 0.0480s
'prefixes'; 0.0484s
'_get_children_by_filter'; 0.0140s
'get_class_elements_children_of'; 0.0140s
'get_classes_children_of'; 0.0140s
'_get_children_by_filter'; 0.0103s
'get_named_instance_elements_children_of'; 0.0103s
'get_named_instances_children_of'; 0.0105s
'_get_children_by_filter'; 0.0108s
